id,season,manager_name,final_rank,wins,draws,losses,points,points_for,competition_type,imported_at
d17c844a-8707-432c-95ad-543e0693c149,2023/24,MATT,2,19,0,19,0,1661,goblet,2026-01-26 20:35:27.048169+00
d28f2922-bf52-4953-8fc4-b075385cf56d,2023/24,DAVID,10,16,0,22,0,1294,goblet,2026-01-26 20:35:27.048169+00
ecd5b2d5-7e3a-40ea-9f58-8e48ac69162e,2023/24,HENRI,3,21,1,16,0,1637,goblet,2026-01-26 20:35:27.048169+00
ef2f862b-0f51-4472-b841-89fd606fd2f1,2021/22,BENJI,3,23,0,15,69,1603,league,2026-01-26 20:35:27.048169+00
f0ba972c-b791-4e56-8f30-628fc67bf0c0,2023/24,MARCO,6,18,0,20,54,1603,league,2026-01-26 20:35:27.048169+00
f1d926f4-b7dc-4bc4-bdf1-e5b99fd9033f,2024/25,CHRIS,4,21,1,16,64,1573,league,2026-01-26 20:35:27.048169+00
f5083306-3a4e-4944-9e8d-05da14823fd8,2021/22,IAN,4,21,1,16,64,1545,league,2026-01-26 20:35:27.048169+00
f909a26c-bc46-4284-b10a-19c6a40391e0,2024/25,MAX,6,20,0,18,0,1541,goblet,2026-01-26 20:35:27.048169+00
f927b89c-2de4-4c1d-89ee-5a5e1b9323f9,2022/23,BENJI,7,17,1,20,52,1418,league,2026-01-26 20:35:27.048169+00
f96a455b-8559-45c5-a89c-60fef3e8e935,2022/23,LENNART,9,13,3,22,42,1565,league,2026-01-26 20:35:27.048169+00
fcd0087d-d920-4dd2-aa6a-3b551b4b5efd,2024/25,BENJI,8,5,0,10,15,611,league,2026-01-26 20:35:27.048169+00
fd9fb886-da56-4c4f-bc65-f352a617e7f9,2021/22,DAVID,8,17,0,21,51,1522,league,2026-01-26 20:35:27.048169+00
